unique_entry_id	gene_callers_id	source	gene_name	gene_hmm_id
176	23	Bacteria_71	Pept_tRNA_hydro	PF01195.19
177	415	Bacteria_71	Ribosomal_L20	PF00453.18
178	416	Bacteria_71	Ribosomal_L35p	PF01632.19
179	573	Bacteria_71	Ribosomal_L32p	PF01783.23
180	776	Bacteria_71	SecE	PF00584.20
181	779	Bacteria_71	Ribosomal_L1	PF00687.21
182	785	Bacteria_71	Ribosom_S12_S23	PF00164.25
183	786	Bacteria_71	Ribosomal_S7	PF00177.21
184	788	Bacteria_71	Ribosomal_S10	PF00338.22
185	789	Bacteria_71	Ribosomal_L3	PF00297.22
186	790	Bacteria_71	Ribosomal_L4	PF00573.22
187	791	Bacteria_71	Ribosomal_L23	PF00276.20
188	792	Bacteria_71	Ribosomal_L2	PF00181.23
189	793	Bacteria_71	Ribosomal_S19	PF00203.21
190	794	Bacteria_71	Ribosomal_L22	PF00237.19
191	795	Bacteria_71	Ribosomal_S3_C	PF00189.20
192	796	Bacteria_71	Ribosomal_L16	PF00252.18
193	797	Bacteria_71	Ribosomal_L29	PF00831.23
194	798	Bacteria_71	Ribosomal_S17	PF00366.20
195	799	Bacteria_71	Ribosomal_L14	PF00238.19
196	800	Bacteria_71	ribosomal_L24	PF17136.4
197	801	Bacteria_71	Ribosomal_L5	PF00281.19
198	803	Bacteria_71	Ribosomal_S8	PF00410.19
199	804	Bacteria_71	Ribosomal_L6	PF00347.23
200	805	Bacteria_71	Ribosomal_L18p	PF00861.22
201	808	Bacteria_71	Ribosomal_L27A	PF00828.19
202	809	Bacteria_71	SecY	PF00344.20
203	811	Bacteria_71	eIF-1a	PF01176.19
204	813	Bacteria_71	Ribosomal_S13	PF00416.22
205	814	Bacteria_71	Ribosomal_S11	PF00411.19
206	816	Bacteria_71	RNA_pol_L	PF01193.24
207	817	Bacteria_71	Ribosomal_L17	PF01196.19
208	1252	Bacteria_71	Ribosomal_L32p	PF01783.23
209	1266	Bacteria_71	RRF	PF01765.19
210	1307	Bacteria_71	PGK	PF00162.19
211	1400	Bacteria_71	Ribosomal_S16	PF00886.19
212	10046	Bacteria_71	Exonuc_VII_L	PF02601.15
213	10278	Bacteria_71	Ribosomal_L28	PF00830.19
214	10358	Bacteria_71	RsfS	PF02410.15
215	10730	Bacteria_71	Ribosomal_L32p	PF01783.23
216	11085	Bacteria_71	UPF0054	PF02130.17
217	11100	Bacteria_71	RsfS	PF02410.15
218	11236	Bacteria_71	ADK	PF00406.22
219	11310	Bacteria_71	YajC	PF02699.15
220	1548	Bacteria_71	UPF0054	PF02130.17
221	1554	Bacteria_71	RecO_C	PF02565.15
222	1593	Bacteria_71	Ribosomal_L27	PF01016.19
223	1595	Bacteria_71	Ribosomal_L21p	PF00829.21
224	1775	Bacteria_71	IPPT	PF01715.17
225	1975	Bacteria_71	Ribosomal_L9_C	PF03948.14
226	1978	Bacteria_71	Ribosomal_S6	PF01250.17
227	1995	Bacteria_71	Adenylsucc_synt	PF00709.21
228	2001	Bacteria_71	IPPT	PF01715.17
229	2004	Bacteria_71	TsaE	PF02367.17
230	2277	Bacteria_71	tRNA_m1G_MT	PF01746.21
231	2355	Bacteria_71	RBFA	PF02033.18
232	2394	Bacteria_71	Ribosomal_S15	PF00312.22
233	2512	Bacteria_71	tRNA-synt_1d	PF00750.19
234	2586	Bacteria_71	Ham1p_like	PF01725.16
235	2692	Bacteria_71	Ribosomal_L28	PF00830.19
236	2702	Bacteria_71	RNA_pol_Rpb6	PF01192.22
237	2791	Bacteria_71	Ribosomal_S9	PF00380.19
238	2792	Bacteria_71	Ribosomal_L13	PF00572.18
239	2878	Bacteria_71	AICARFT_IMPCHas	PF01808.18
240	2995	Bacteria_71	Adenylsucc_synt	PF00709.21
241	2997	Bacteria_71	Ribosomal_L9_C	PF03948.14
242	3001	Bacteria_71	Ribosomal_S6	PF01250.17
243	3009	Bacteria_71	Ribonuclease_P	PF00825.18
244	3109	Bacteria_71	Ribosomal_S10	PF00338.22
245	3110	Bacteria_71	Ribosomal_L3	PF00297.22
246	3111	Bacteria_71	Ribosomal_L4	PF00573.22
247	3112	Bacteria_71	Ribosomal_L23	PF00276.20
248	3113	Bacteria_71	Ribosomal_L2	PF00181.23
249	3114	Bacteria_71	Ribosomal_S19	PF00203.21
250	3115	Bacteria_71	Ribosomal_L22	PF00237.19
251	3116	Bacteria_71	Ribosomal_S3_C	PF00189.20
252	3117	Bacteria_71	Ribosomal_L16	PF00252.18
253	3118	Bacteria_71	Ribosomal_L29	PF00831.23
254	3119	Bacteria_71	Ribosomal_S17	PF00366.20
255	3120	Bacteria_71	Ribosomal_L14	PF00238.19
256	3121	Bacteria_71	ribosomal_L24	PF17136.4
257	3122	Bacteria_71	Ribosomal_L5	PF00281.19
258	3123	Bacteria_71	Ribosomal_S8	PF00410.19
259	3124	Bacteria_71	Ribosomal_L6	PF00347.23
260	3125	Bacteria_71	Ribosomal_L18p	PF00861.22
261	3128	Bacteria_71	Ribosomal_L27A	PF00828.19
262	3129	Bacteria_71	SecY	PF00344.20
263	3130	Bacteria_71	ADK	PF00406.22
264	3133	Bacteria_71	eIF-1a	PF01176.19
265	3135	Bacteria_71	Ribosomal_S13	PF00416.22
266	3136	Bacteria_71	Ribosomal_S11	PF00411.19
