gene_callers_id	contig
0	qb307082014_I_scaffold_1012
1	qb307082014_I_scaffold_1012
2	qb307082014_I_scaffold_1012
3	qb307082014_I_scaffold_1117
4	qb307082014_I_scaffold_1168
5	qb307082014_I_scaffold_1168
6	qb307082014_I_scaffold_1207
7	qb307082014_I_scaffold_1207
8	qb307082014_I_scaffold_1207
9	qb307082014_I_scaffold_1235
10	qb307082014_I_scaffold_1235
11	qb307082014_I_scaffold_1267
12	qb307082014_I_scaffold_1297
13	qb307082014_I_scaffold_1297
14	qb307082014_I_scaffold_1297
15	qb307082014_I_scaffold_2263
16	qb307082014_I_scaffold_2263
17	qb307082014_I_scaffold_939
18	qb307082014_I_scaffold_939
19	qb307082014_I_scaffold_939
20	qb307082014_I_scaffold_939
21	qb307082014_I_scaffold_13
22	qb307082014_I_scaffold_13
23	qb307082014_I_scaffold_13
24	qb307082014_I_scaffold_13
25	qb307082014_I_scaffold_13
26	qb307082014_I_scaffold_13
27	qb307082014_I_scaffold_13
28	qb307082014_I_scaffold_13
29	qb307082014_I_scaffold_13
30	qb307082014_I_scaffold_13
31	qb307082014_I_scaffold_13
32	qb307082014_I_scaffold_13
33	qb307082014_I_scaffold_13
34	qb307082014_I_scaffold_13
35	qb307082014_I_scaffold_13
36	qb307082014_I_scaffold_13
37	qb307082014_I_scaffold_13
38	qb307082014_I_scaffold_13
39	qb307082014_I_scaffold_13
40	qb307082014_I_scaffold_13
41	qb307082014_I_scaffold_13
42	qb307082014_I_scaffold_13
43	qb307082014_I_scaffold_13
44	qb307082014_I_scaffold_13
45	qb307082014_I_scaffold_13
46	qb307082014_I_scaffold_13
47	qb307082014_I_scaffold_13
48	qb307082014_I_scaffold_13
49	qb307082014_I_scaffold_13
50	qb307082014_I_scaffold_13
51	qb307082014_I_scaffold_13
52	qb307082014_I_scaffold_13
53	qb307082014_I_scaffold_13
54	qb307082014_I_scaffold_13
55	qb307082014_I_scaffold_13
56	qb307082014_I_scaffold_13
57	qb307082014_I_scaffold_13
58	qb307082014_I_scaffold_13
59	qb307082014_I_scaffold_13
60	qb307082014_I_scaffold_13
61	qb307082014_I_scaffold_13
62	qb307082014_I_scaffold_13
63	qb307082014_I_scaffold_13
64	qb307082014_I_scaffold_13
65	qb307082014_I_scaffold_13
66	qb307082014_I_scaffold_13
67	qb307082014_I_scaffold_13
68	qb307082014_I_scaffold_13
69	qb307082014_I_scaffold_13
70	qb307082014_I_scaffold_13
71	qb307082014_I_scaffold_13
72	qb307082014_I_scaffold_13
73	qb307082014_I_scaffold_13
74	qb307082014_I_scaffold_13
75	qb307082014_I_scaffold_13
76	qb307082014_I_scaffold_13
77	qb307082014_I_scaffold_13
78	qb307082014_I_scaffold_13
79	qb307082014_I_scaffold_13
80	qb307082014_I_scaffold_13
81	qb307082014_I_scaffold_13
82	qb307082014_I_scaffold_13
83	qb307082014_I_scaffold_13
84	qb307082014_I_scaffold_13
85	qb307082014_I_scaffold_13
86	qb307082014_I_scaffold_13
87	qb307082014_I_scaffold_13
88	qb307082014_I_scaffold_13
89	qb307082014_I_scaffold_13
90	qb307082014_I_scaffold_13
91	qb307082014_I_scaffold_13
92	qb307082014_I_scaffold_13
93	qb307082014_I_scaffold_13
94	qb307082014_I_scaffold_13
95	qb307082014_I_scaffold_13
96	qb307082014_I_scaffold_13
97	qb307082014_I_scaffold_13
98	qb307082014_I_scaffold_13
99	qb307082014_I_scaffold_13
100	qb307082014_I_scaffold_13
101	qb307082014_I_scaffold_13
102	qb307082014_I_scaffold_13
103	qb307082014_I_scaffold_13
104	qb307082014_I_scaffold_13
105	qb307082014_I_scaffold_13
106	qb307082014_I_scaffold_13
107	qb307082014_I_scaffold_13
108	qb307082014_I_scaffold_13
109	qb307082014_I_scaffold_13
110	qb307082014_I_scaffold_13
111	qb307082014_I_scaffold_13
112	qb307082014_I_scaffold_13
113	qb307082014_I_scaffold_13
114	qb307082014_I_scaffold_13
115	qb307082014_I_scaffold_13
116	qb307082014_I_scaffold_13
117	qb307082014_I_scaffold_13
118	qb307082014_I_scaffold_13
119	qb307082014_I_scaffold_13
120	qb307082014_I_scaffold_13
121	qb307082014_I_scaffold_13
122	qb307082014_I_scaffold_13
123	qb307082014_I_scaffold_13
124	qb307082014_I_scaffold_13
125	qb307082014_I_scaffold_13
126	qb307082014_I_scaffold_13
127	qb307082014_I_scaffold_13
128	qb307082014_I_scaffold_13
129	qb307082014_I_scaffold_13
130	qb307082014_I_scaffold_13
131	qb307082014_I_scaffold_13
132	qb307082014_I_scaffold_13
133	qb307082014_I_scaffold_13
134	qb307082014_I_scaffold_13
135	qb307082014_I_scaffold_13
136	qb307082014_I_scaffold_13
137	qb307082014_I_scaffold_13
138	qb307082014_I_scaffold_13
139	qb307082014_I_scaffold_13
140	qb307082014_I_scaffold_13
141	qb307082014_I_scaffold_13
142	qb307082014_I_scaffold_13
143	qb307082014_I_scaffold_13
144	qb307082014_I_scaffold_13
145	qb307082014_I_scaffold_13
146	qb307082014_I_scaffold_13
147	qb307082014_I_scaffold_13
148	qb307082014_I_scaffold_13
149	qb307082014_I_scaffold_13
150	qb307082014_I_scaffold_13
151	qb307082014_I_scaffold_13
152	qb307082014_I_scaffold_13
153	qb307082014_I_scaffold_13
154	qb307082014_I_scaffold_13
155	qb307082014_I_scaffold_13
156	qb307082014_I_scaffold_13
157	qb307082014_I_scaffold_13
158	qb307082014_I_scaffold_13
159	qb307082014_I_scaffold_13
160	qb307082014_I_scaffold_13
161	qb307082014_I_scaffold_13
162	qb307082014_I_scaffold_13
163	qb307082014_I_scaffold_13
164	qb307082014_I_scaffold_13
165	qb307082014_I_scaffold_13
166	qb307082014_I_scaffold_13
167	qb307082014_I_scaffold_13
168	qb307082014_I_scaffold_13
169	qb307082014_I_scaffold_13
170	qb307082014_I_scaffold_13
171	qb307082014_I_scaffold_13
172	qb307082014_I_scaffold_13
173	qb307082014_I_scaffold_13
174	qb307082014_I_scaffold_13
175	qb307082014_I_scaffold_13
176	qb307082014_I_scaffold_13
177	qb307082014_I_scaffold_13
178	qb307082014_I_scaffold_13
179	qb307082014_I_scaffold_13
180	qb307082014_I_scaffold_13
181	qb307082014_I_scaffold_13
182	qb307082014_I_scaffold_13
183	qb307082014_I_scaffold_13
184	qb307082014_I_scaffold_13
185	qb307082014_I_scaffold_13
186	qb307082014_I_scaffold_13
187	qb307082014_I_scaffold_13
188	qb307082014_I_scaffold_13
189	qb307082014_I_scaffold_13
190	qb307082014_I_scaffold_13
191	qb307082014_I_scaffold_13
192	qb307082014_I_scaffold_13
