db_name	gene_callers_id	gene_name	accession	percent_identity	bitscore	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
INFANTGUT	14404	ribosomal_L24	GB_GCA_900446925.1	98.1	186.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter koseri
INFANTGUT	14404	ribosomal_L24	RS_GCF_000208585.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp000208585
INFANTGUT	14404	ribosomal_L24	RS_GCF_001750725.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter	Enterobacter ludwigii
INFANTGUT	14404	ribosomal_L24	RS_GCF_002902985.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Leclercia	Leclercia sp002902985
INFANTGUT	14404	ribosomal_L24	RS_GCF_004211955.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia sp004211955
INFANTGUT	14404	ribosomal_L24	RS_GCF_000400505.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya paradisiaca
INFANTGUT	14404	ribosomal_L24	RS_GCF_900635495.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter hermannii
INFANTGUT	14404	ribosomal_L24	RS_GCF_000252995.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella bongori
INFANTGUT	14404	ribosomal_L24	RS_GCF_900112785.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Phytobacter	Phytobacter sp900112785
INFANTGUT	14404	ribosomal_L24	GB_GCA_900095885.1	97.1	185.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Dickeya	Dickeya aquatica
